DISTRICT,OILSEED_AREA,OILSEED_PRODUCTION,OILSEED_YIELD,POTATO_AREA,POTATO_PRODUCTION,POTATO_YIELD,SUGARCANE_AREA,SUGARCANE_PRODUCTION,SUGARCANE_YIELD
TAPLEJUNG,564,627,1.11,3615,42437,11739,0,0,0
SANKHUWASHAVA,635,540,0.85,3147,39228,12465,70,2100,30000
SOLUKHUMBU,177,108,0.61,10143,153723,15156,0,0,0
E.MOUNTAIN,1376,1275,926,16905,235388,13924,70,2100,30000
PANCHTHAR,622,512,0.82,1830,24119,13180,38,1197,31500
ILLAM,780,700,0.9,6815,90950,13346,13,490,37692
TERHATHUM,450,296,0.66,2780,30880,11108,0,0,0
DHANKUTA,1062,632,0.6,2048,36460,17803,40,800,20000
BHOJPUR,267,187,0.7,5025,57485,11440,0,0,0
KHOTANG,2201,1988,0.9,6000,70750,11792,13,227,17462
OKHALDHUNGA,511,255,0.5,2940,31164,10600,5,250,50000
UDAYAPUR,5157,3565,0.69,862,10792,12520,0,0,0
E.HILLS,11050,8135,736,28300,352600,12459,109,2964,271927
JHAPA,3500,3852,1.10,10140,163820,16156,205,6500,317073
MORANG,13250,12470,0.94,5750,11025,1917,2150,141900,660000
SUNSARI,8487,6762,0.8,2510,33860,13490,3300,185130,561000
SAPTARI,4200,3440,0.82,5150,62904,12214,40,1600,400000
SIRAHA,6655,2361,0.35,1615,19380,12000,1850,83250,450000
E.TERAI,36092,28885,800,25165,290989,11563,7545,418380,554513
E.REGION,48518,38294,789,70370,878977,12491,7724,423444,548219
DOLAKHA,300,260,0.87,2505,27004,10780,5,203,406000
SINDHUPALCHOK,477,438,0.92,5033,62154,12349,10,190,190000
RASUWA,30,23,0.77,2560,36967,14440,0,0,0
C.MOUNTAIN,807,722,894,10098,126125,12490,15,393,26200
RAMECHAP,501,296,0.59,3050,32903,10788,0,0,0
SINDHULI,5492,4904,0.89,1750,17500,10000,11,490,44545
KAVRE,1910,1950,1.02,9695,179357.5,18500,27,642,23778
BHAKTAPUR,250,251,1,1528,23939,15667,0,0,0
LALITPUR,2220,1816,0.82,975,18891,19375,0,0,0
KATHMANDU,85,78,0.92,2580,48010,18609,10,253,25300
NUWAKOT,778,744,0.96,2850,52720,18498,115,4000,34783
DHADING,665,530,0.8,1660,23672,14260,50,2575,51500
MAKWANPUR,1534,1687,1.1,4858,67217,13836,95,3250,34211
C.HILLS,13435,12256,912,28946,464210,16037,297,10720,360943
DHANUSHA,3402,2006,0.59,2325,30225,13000,3605,151410,420000
MAHOTTARI,3115,2676,0.86,3550,41180,11600,6500,260250,400385
SARLAHI,6100,4638,0.76,1350,19980,14800,17100,769500,450000
RAUTAHAT,10450,8648,0.83,2420,44286,18300,9050,362000,400000
BARA,2750,3002,1.09,9895,168909,17070,2160,90720,420000
PARSA,6987,6229,0.89,1200,16400,13667,930,36400,391398
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
C.TERAI,45184,37904,839,22635,356037,15729,39395,1672780,424617
C.REGION,59426,50881,856,61679,946372,15343,39707,1683893,42408
,,,,,,,,,
MANANG,0,0,0,745,6894,9254,0,0,0
MUSTANG,30,25,0.83,250,3200,12800,0,0,0
W.MOUNTAIN,30,25,833,995,10094,10145,0,0,0
GORKHA,716,720,1.01,2462,32672,13271,62,1200,193548
LAMJUNG,716,680,0.95,1836,20060,10926,30,900,300000
TANAHU,673,429,0.64,775,7080,9135,58,1438,247931
KASKI,568,435,0.77,1679,19734,11753,32,1225,382813
PARBAT,317,241,0.76,1516,21602,14249,10,340,340000
SYANGJA,266,197,0.74,850,10288,12104,20,405,202500
PALPA,917,713,0.78,720,9560,13278,50,1500,300000
MYAGDI,323,302,0.93,1580,18989,12018,21,375,178571
BAGLUNG,862,732,0.85,1397,18302,13101,3,125,416667
GULMI,530,636,1.2,445,5216,11721,83,2420,291566
ARGHAKHANCHI,1442,1303,0.9,775,9371,12092,6,120,200000
W.HILLS,7330,6388,872,14015,174574,12456,375,10048,267947
NAWALPARASI,7462,4698,0.63,1145,12366,10800,7250,330250,455517
RUPANDEHI,7225,7096,0.98,3865,53475,13836,500,25000,500000
KAPILBASTU,4130,3320,0.8,2410,34010,14112,5300,315000,594340
W.TERAI,18817,15114,803,7420,99851,13457,13050,670250,513602
W.REGION,26177,21527,822,22430,284519,12685,13425,680298,506740
DOLPA,19,15,0.79,925,9225,9973,0,0,0
MUGU,26,16,0.62,610,6110,10016,0,0,0
HUMLA,24,16,0.67,700,6825,9750,0,0,0
JUMLA,85,68,0.8,2615,26150,10000,0,0,0
KALIKOT,191,103,0.54,525,6127.5,11671,0,0,0
MW.MOUNTAIN,345,218,632,5375,54438,10128,0,0,0
RUKUM,770,643,0.84,1655,20431,12345,5,100,20000
ROLPA,332,271,0.82,1797,19929,11090,15,300,20000
PYUTHAN,953,1127,1.18,890,13395,15051,22,495,22500
SALYAN,1092,832,0.76,860,8910,10360,12,350,29167
JAJARKOT,1167,769,0.66,625,9211,14738,10,250,25000
DAILEKH,804,744,0.93,1600,20320,12700,25,750,30000
SURKHET,4071,3375,0.83,1177,22502,19118,35,725,20714
MW.HILLS,9189,7761.4,845,8604,114698,13331,124,2970,23952
DANG,19515,17025,0.87,2200,28500,12955,40,1000,25000
BANKE,10212,9177,0.9,2365,35380,14960,55,2220,40364
BARDIYA,10375,9380,0.9,4000,56000,14000,250,10250,41000
MW.TERAI,40102,35582,887,8565,119880,13996,345,13470,390435
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BAJURA,435,245,0.56,725,7050,9724,141,4000,28369
BAJHANG,250,224,0.9,1030,9682,9400,15,380,25333
DARCHULA,140,112,0.8,716,9215,12870,31,992,32000
FW.MOUNTAIN,825,581,704,2471,25947,10501,187,5372,28727
ACHHAM,1276,1129,0.88,400,3980,9950,0,0,0
DOTI,693,590,0.85,2400,32550,13563,15,525,35000
BAITADI,335,250,0.75,680,16441,24178,300,11850,39500
DADELDHURA,507,395,0.78,800,11750,14688,0,0,0
FW.HILLS,2811,2364,841,4280,64721,15122,315,12375,39286
KAILALI,21100,16745,0.79,5000,75000,15000,205,9225,45000
KANCHANPUR,6342,5192,0.82,1476,19750,13381,2440,99000,40574
FW.TERAI,27442,21937,799,6476,94750,14631,2645,108225,40917
FW.REGION,31078,24882,801,13227,185418,14018,3147,125972,40029
