DISTRICT,OILSEED_AREA,OILSEED_PRODUCTION,OILSEED_RATIO,POTATO_AREA,POTATO_PRODUCTION,POTATO_RATIO,SUGARCANE_AREA,SUGARCANE_PRODUCTION,SUGARCANE_RATIO,TOTAL POPULATION(2001),TOTAL AREA(KM2),TOTAL ROAD LENGTH(KM.),POPULATION INFLUENCED PER KM. ROAD(NOS.) ,ROAD DENSITY (KM/100 KM2),OVERALL TOTAL,IRRIGABLE TOTAL,IRRIGATED TOTAL (HA),HOUSEHOLD     *,POPULATION TOTAL,POPULATION MALE,POPULATION FEMALE,AREA IN SQ. KM.,AVERAGE HOUSE-HOLD SIZE,SEX RATIO,POPULATION DENSITY
PALPA,917,713,0.78,720,9560,13.28,50,1500,30,268558,1373,128.59,2088,9,30354,8857,4026,59291,261180,115840,145340,1373,4.41,79.7,190.23
RUKUM,770,643,0.84,1655,20431,12.35,5,100,20,188438,2877,52.4,3596,2,23592,4170,2098,41856,208567,99159,109408,2877,4.98,90.63,72.49
DHANKUTA,1062,632,0.6,2048,36460,17.8,40,800,20,166479,891,132.14,1260,15,26797,7495,5258,37637,163412,76515,86897,891,4.34,88.05,183.4
SYANGJA,266,197,0.74,850,10288,12.1,20,405,20.25,317320,1164,137.94,2300,12,31018,9848,4071,68881,289148,125833,163315,1164,4.2,77.05,248.41
MUGU,26,16,0.62,610,6110,10.02,0,0,0,43937,3535,0,0,0,9616,2030,990,9619,55286,28025,27261,3535,5.75,102.8,15.64
SINDHUPALCHOK,477,438,0.92,5033,62154,12.35,10,190,19,305857,2542,161.65,1892,6,33820,12276,8101,66688,287798,138351,149447,2542,4.32,92.58,113.22
SALYAN,1092,832,0.76,860,8910,10.36,12,350,29.17,213500,1462,166.66,1281,11,28033,5282,2836,46556,242444,115969,126475,1462,5.21,91.69,165.83
KALIKOT,191,103,0.54,525,6127.5,11.67,0,0,0,105580,1741,64,1650,4,13126,3084,1741,23013,136948,68833,68115,1741,5.95,101.05,78.66
DARCHULA,140,112,0.8,716,9215,12.87,31,992,32,121996,2322,71.42,1708,3,13201,4239,2334,24618,133274,63605,69669,2322,5.41,91.3,57.4
KASKI,568,435,0.77,1679,19734,11.75,32,1225,38.28,380527,2017,112.96,3369,6,31405,15960,10788,125673,492098,236385,255713,2017,3.92,92.44,243.98
DAILEKH,804,744,0.93,1600,20320,12.7,25,750,30,225201,1502,172,1309,11,28373,7075,2908,48919,261770,126990,134780,1502,5.35,94.22,174.28
UDAYAPUR,5157,3565,0.69,862,10792,12.52,0,0,0,287689,2063,179.86,1600,9,30773,18408,12271,66557,317532,149712,167820,2063,4.77,89.21,153.92
TANAHU,673,429,0.64,775,7080,9.14,58,1438,24.79,315237,1546,132.41,2381,9,33972,14496,9083,78309,323288,143410,179878,1546,4.13,79.73,209.11
HUMLA,24,16,0.67,700,6825,9.75,0,0,0,40595,5655,30,0,1,4983,969,582,9479,50858,25833,25025,5655,5.37,103.23,8.99
LAMJUNG,716,680,0.95,1836,20060,10.93,30,900,30,177149,1692,57.87,3061,3,23848,11937,4943,42079,167724,75913,91811,1692,3.99,82.68,99.13
MORANG,13250,12470,0.94,5750,11025,1.92,2150,141900,66,843220,1855,214.22,3936,12,102938,99959,90877,213997,965370,466712,498658,1855,4.51,93.59,520.42
BARA,2750,3002,1.09,9895,168909,17.07,2160,90720,42,559135,1190,165.13,3386,14,61766,60390,55455,108635,687708,351244,336464,1190,6.33,104.39,577.91
DHANUSHA,3402,2006,0.59,2325,30225,13,3605,151410,42,671364,1180,189.21,3548,16,72925,72925,46171,138249,754777,378538,376239,1180,5.46,100.61,639.64
KAVREPALANCHOK,1910,1950,1.02,9695,179357.5,18.5,27,642,23.78,385672,1396,147.32,2618,11,29921,7958,4414,80720,381937,182936,199001,1396,4.73,91.93,273.59
DHADING,665,530,0.8,1660,23672,14.26,50,2575,51.5,338658,1926,145.88,2321,8,36190,10839,7759,73851,336067,157834,178233,1926,4.55,88.55,174.49
PANCHTHAR,622,512,0.82,1830,24119,13.18,38,1197,31.5,202056,1241,145.4,1390,12,32252,7241,8693,41196,191817,90186,101631,1241,4.66,88.74,154.57
SURKHET,4071,3375,0.83,1177,22502,19.12,35,725,20.71,288527,2451,231.14,1248,9,31231,19275,10893,72863,350804,169421,181383,2451,4.81,93.41,143.13
RAMECHHAP,501,296,0.59,3050,32903,10.79,0,0,0,212408,1546,77,2759,5,32276,4248,5391,43910,202646,93386,109260,1546,4.62,85.47,131.08
PARBAT,317,241,0.76,1516,21602,14.25,10,340,34,157826,494,37.11,4253,8,15231,6455,3558,35719,146590,65301,81289,494,4.1,80.33,296.74
MANANG,0,0,0,745,6894,9.25,0,0,0,9587,2246,18,0,1,718,121,353,1480,6538,3661,2877,2246,4.42,127.25,2.91
RASUWA,30,23,0.77,2560,36967,14.44,0,0,0,44731,1544,50.5,886,3,5201,836,1646,9778,43300,21475,21825,1544,4.43,98.4,28.04
MUSTANG,30,25,0.83,250,3200,12.8,0,0,0,14981,3573,43,0,1,4221,159,1396,3354,13452,7093,6359,3573,4.01,111.54,3.76
MAHOTTARI,3115,2676,0.86,3550,41180,11.6,6500,260250,40.04,553481,1002,185.29,2987,18,60649,60633,37577,111316,627580,311016,316564,1002,5.64,98.25,626.33
DADELDHURA,507,395,0.78,800,11750,14.69,0,0,0,126162,1538,141.08,894,9,16032,7266,2764,27045,142094,66556,75538,1538,5.25,88.11,92.39
KANCHANPUR,6342,5192,0.82,1476,19750,13.38,2440,99000,40.57,377899,1610,155.42,2431,10,40970,40891,30788,82152,451248,216042,235206,1610,5.49,91.85,280.28
BAJHANG,250,224,0.9,1030,9682,9.4,15,380,25.33,167026,3422,76,2198,2,22642,7549,3050,33786,195159,92794,102365,3422,5.78,90.65,57.03
PARSA,6987,6229,0.89,1200,16400,13.67,930,36400,39.14,497219,1353,37.62,13217,3,48374,48374,29986,95536,601017,312358,288659,1353,6.29,108.21,444.21
JUMLA,85,68,0.8,2615,26150,10,0,0,0,89427,2531,36,2484,1,12642,4765,1615,19303,108921,54898,54023,2531,5.64,101.62,43.03
JHAPA,3500,3852,1.1,10140,163820,16.16,205,6500,31.71,688109,1606,196.6,3500,12,109529,109530,91319,184552,812650,385096,427554,1606,4.4,90.07,506.01
GULMI,530,636,1.2,445,5216,11.72,83,2420,29.16,296654,1149,110.54,2684,10,25606,4240,2554,64921,280160,120995,159165,1149,4.32,76.02,243.83
SARLAHI,6100,4638,0.76,1350,19980,14.8,17100,769500,45,635701,1259,181.42,3504,14,73710,73521,71173,132844,769729,389756,379973,1259,5.79,102.57,611.38
JAJARKOT,1167,769,0.66,625,9211,14.74,10,250,25,134868,2230,34,3967,2,21114,4143,1517,30472,171304,85537,85767,2230,5.62,99.73,76.82
NUWAKOT,778,744,0.96,2850,52720,18.5,115,4000,34.78,288478,1121,135.71,2126,12,31783,15047,6473,59215,277471,132787,144684,1121,4.69,91.78,247.52
DANG,19515,17025,0.87,2200,28500,12.95,40,1000,25,462380,2955,355.78,1300,12,64522,59505,40212,116415,552583,261059,291524,2955,4.75,89.55,187
SIRAHA,6655,2361,0.35,1615,19380,12,1850,83250,45,572399,1188,143.93,3977,12,77726,77726,39967,117962,637328,310101,327227,1188,5.4,94.77,536.47
PYUTHAN,953,1127,1.18,890,13395,15.05,22,495,22.5,212484,1309,172,1235,13,23197,7037,4159,47730,228102,100053,128049,1309,4.78,78.14,174.26
MYAGDI,323,302,0.93,1580,18989,12.02,21,375,17.86,114447,2297,26,4402,1,15740,3685,1742,27762,113641,51395,62246,2297,4.09,82.57,49.47
SOLUKHUMBU,177,108,0.61,10143,153723,15.16,0,0,0,107686,3312,0,0,0,17734,2038,3882,23785,105886,51200,54686,3312,4.45,93.63,31.97
SAPTARI,4200,3440,0.82,5150,62904,12.21,40,1600,40,570282,1363,239.5,2381,18,76949,76950,56863,121098,639284,313846,325438,1363,5.28,96.44,469.03
SUNSARI,8487,6762,0.8,2510,33860,13.49,3300,185130,56.1,625633,1257,191.03,3275,15,71757,70629,66072,162407,763487,371229,392258,1257,4.7,94.64,607.39
KAPILBASTU,4130,3320,0.8,2410,34010,14.11,5300,315000,59.43,481976,1738,222.97,2162,13,84785,84453,32786,91321,571936,285599,286337,1738,6.26,99.74,329.08
BANKE,10212,9177,0.9,2365,35380,14.96,55,2220,40.36,385840,2337,226.41,1704,10,49525,48550,19002,94773,491313,244255,247058,2337,5.18,98.87,210.23
DOLAKHA,300,260,0.87,2505,27004,10.78,5,203,40.6,204229,2191,136.68,1494,6,24042,4911,5211,45688,186557,87003,99554,2191,4.08,87.39,85.15
KATHMANDU,85,78,0.92,2580,48010,18.61,10,253,25.3,1081845,395,214.69,5039,54,17104,14069,5149,436344,1744240,913001,831239,395,4,109.84,4415.8
RAUTAHAT,10450,8648,0.83,2420,44286,18.3,9050,362000,40,545132,1126,87.83,6207,8,56390,56141,57653,106668,686722,351079,335643,1126,6.44,104.6,609.88
KAILALI,21100,16745,0.79,5000,75000,15,205,9225,45,616697,3235,269.6,2287,8,66723,64112,58029,142480,775709,378417,397292,3235,5.44,95.25,239.79
BHOJPUR,267,187,0.7,5025,57485,11.44,0,0,0,203018,1507,50,0,3,34676,6820,2584,39419,182459,86053,96406,1507,4.63,89.26,121.07
DOLPA,19,15,0.79,925,9225,9.97,0,0,0,29545,7889,0,0,0,4996,544,1178,7488,36700,18238,18462,7889,4.9,98.79,4.65
BAJURA,435,245,0.56,725,7050,9.72,141,4000,28.37,108781,2188,16,6799,1,12181,3584,4055,24908,134912,65806,69106,2188,5.42,95.22,61.66
MAKWANPUR,1534,1687,1.1,4858,67217,13.84,95,3250,34.21,392604,2426,278.54,1410,11,35776,23502,3507,86127,420477,206684,213793,2426,4.88,96.67,173.32
GORKHA,716,720,1.01,2462,32672,13.27,62,1200,19.35,288134,3610,88.34,3262,2,33914,11027,4008,66506,271061,121041,150020,3610,4.08,80.68,75.09
ARGHAKHANCHI,1442,1303,0.9,775,9371,12.09,6,120,20,208391,1193,102.91,2025,9,20020,4799,2914,46835,197632,86266,111366,1193,4.22,77.46,165.66
LALITPUR,2220,1816,0.82,975,18891,19.38,0,0,0,337785,385,113.01,2989,29,11068,7425,4924,109797,468132,238082,230050,385,4.26,103.49,1215.93
BAGLUNG,862,732,0.85,1397,18302,13.1,3,125,41.67,268937,1784,102.13,2633,6,26522,7780,1938,61522,268613,117997,150616,1784,4.37,78.34,150.57
NAWALPARASI,7462,4698,0.63,1145,12366,10.8,7250,330250,45.55,562870,2162,192.33,2927,9,55238,50690,41563,128793,643508,303675,339833,2162,5,89.36,297.64
BHAKTAPUR,250,251,1,1528,23939,15.67,0,0,0,225461,119,97.47,2313,82,7223,6274,4319,68636,304651,154884,149767,119,4.44,103.42,2560.09
OKHALDHUNGA,511,255,0.5,2940,31164,10.6,5,250,50,156702,1074,47,3334,4,24151,4478,3609,32502,147984,68687,79297,1074,4.55,86.62,137.79
TERHATHUM,450,296,0.66,2780,30880,11.11,0,0,0,113111,679,32.89,3439,5,21662,6282,4939,22094,101577,47151,54426,679,4.6,86.63,149.6
ACHHAM,1276,1129,0.88,400,3980,9.95,0,0,0,231285,1680,139,1664,8,31982,10972,3371,48351,257477,120008,137469,1680,5.33,87.3,153.26
TAPLEJUNG,564,627,1.11,3615,42437,11.74,0,0,0,134698,3646,25.5,5282,1,22102,7443,7775,26509,127461,60552,66909,3646,4.81,90.5,34.96
DOTI,693,590,0.85,2400,32550,13.56,15,525,35,207066,2025,141.76,1461,7,27562,10468,3145,41440,211746,97252,114494,2025,5.11,84.94,104.57
SANKHUWASAVA,635,540,0.85,3147,39228,12.47,70,2100,30,159203,3480,76.7,2076,2,25972,5170,6337,34624,158742,75225,83517,3480,4.58,90.07,45.62
BARDIYA,10375,9380,0.9,4000,56000,14,250,10250,41,382649,2025,189.32,2021,9,52836,52660,42895,83176,426576,205080,221496,2025,5.13,92.59,210.65
RUPANDEHI,7225,7096,0.98,3865,53475,13.84,500,25000,50,708419,1360,152.44,4647,11,88416,87979,81158,163916,880196,432193,448003,1360,5.37,96.47,647.2
KHOTANG,2201,1988,0.9,6000,70750,11.79,13,227,17.46,231385,1591,71,0,4,37950,8859,4886,42664,206312,97092,109220,1591,4.84,88.9,129.67
SINDHULI,5492,4904,0.89,1750,17500,10,11,490,44.55,279821,2491,89,3144,4,34333,20652,10898,57581,296192,142123,154069,2491,5.14,92.25,118.9
ILAM,780,700,0.9,6815,90950,13.35,13,490,37.69,282806,1703,228.45,1238,13,36405,12742,6877,64502,290254,141126,149128,1703,4.5,94.63,170.44
ROLPA,332,271,0.82,1797,19929,11.09,15,300,20,210004,1879,153.79,1366,8,29651,3980,1047,43757,224506,103100,121406,1879,5.13,84.92,119.48
BAITADI,335,250,0.75,680,16441,24.18,300,11850,39.5,234418,1519,181.5,1292,12,25543,7450,2900,45191,250898,117407,133491,1519,5.55,87.95,165.17
