DISTRICT,OILSEED_AREA,OILSEED_PRODUCTION,OILSEED_RATIO,POTATO_AREA,POTATO_PRODUCTION,POTATO_RATIO,SUGARCANE_AREA,SUGARCANE_PRODUCTION,SUGARCANE_RATIO
TAPLEJUNG,564,627,1.11,3615,42437,11.74,0,0,0
SANKHUWASAVA,635,540,0.85,3147,39228,12.47,70,2100,30
SOLUKHUMBU,177,108,0.61,10143,153723,15.16,0,0,0
E.MOUNTAIN,1376,1275,0.93,16905,235388,13.92,70,2100,30
PANCHTHAR,622,512,0.82,1830,24119,13.18,38,1197,31.5
ILAM,780,700,0.9,6815,90950,13.35,13,490,37.69
TERHATHUM,450,296,0.66,2780,30880,11.11,0,0,0
DHANKUTA,1062,632,0.6,2048,36460,17.8,40,800,20
BHOJPUR,267,187,0.7,5025,57485,11.44,0,0,0
KHOTANG,2201,1988,0.9,6000,70750,11.79,13,227,17.46
OKHALDHUNGA,511,255,0.5,2940,31164,10.6,5,250,50
UDAYAPUR,5157,3565,0.69,862,10792,12.52,0,0,0
E.HILLS,11050,8135,0.74,28300,352600,12.46,109,2964,27.19
JHAPA,3500,3852,1.1,10140,163820,16.16,205,6500,31.71
MORANG,13250,12470,0.94,5750,11025,1.92,2150,141900,66
SUNSARI,8487,6762,0.8,2510,33860,13.49,3300,185130,56.1
SAPTARI,4200,3440,0.82,5150,62904,12.21,40,1600,40
SIRAHA,6655,2361,0.35,1615,19380,12,1850,83250,45
E.TERAI,36092,28885,0.8,25165,290989,11.56,7545,418380,55.45
E.REGION,48518,38294,0.79,70370,878977,12.49,7724,423444,54.82
DOLAKHA,300,260,0.87,2505,27004,10.78,5,203,40.6
SINDHUPALCHOK,477,438,0.92,5033,62154,12.35,10,190,19
RASUWA,30,23,0.77,2560,36967,14.44,0,0,0
C.MOUNTAIN,807,722,0.89,10098,126125,12.49,15,393,26.2
RAMECHHAP,501,296,0.59,3050,32903,10.79,0,0,0
SINDHULI,5492,4904,0.89,1750,17500,10,11,490,44.55
KAVREPALANCHOK,1910,1950,1.02,9695,179357.5,18.5,27,642,23.78
BHAKTAPUR,250,251,1,1528,23939,15.67,0,0,0
LALITPUR,2220,1816,0.82,975,18891,19.38,0,0,0
KATHMANDU,85,78,0.92,2580,48010,18.61,10,253,25.3
NUWAKOT,778,744,0.96,2850,52720,18.5,115,4000,34.78
DHADING,665,530,0.8,1660,23672,14.26,50,2575,51.5
MAKWANPUR,1534,1687,1.1,4858,67217,13.84,95,3250,34.21
C.HILLS,13435,12256,0.91,28946,464210,16.04,297,10720,36.09
DHANUSHA,3402,2006,0.59,2325,30225,13,3605,151410,42
MAHOTTARI,3115,2676,0.86,3550,41180,11.6,6500,260250,40.04
SARLAHI,6100,4638,0.76,1350,19980,14.8,17100,769500,45
RAUTAHAT,10450,8648,0.83,2420,44286,18.3,9050,362000,40
BARA,2750,3002,1.09,9895,168909,17.07,2160,90720,42
PARSA,6987,6229,0.89,1200,16400,13.67,930,36400,39.14
C.TERAI,45184,37904,0.84,22635,356037,15.73,39395,1672780,42.46
C.REGION,59426,50881,0.86,61679,946372,15.34,39707,1683893,42.41
MANANG,0,0,0,745,6894,9.25,0,0,0
MUSTANG,30,25,0.83,250,3200,12.8,0,0,0
W.MOUNTAIN,30,25,0.83,995,10094,10.14,0,0,0
GORKHA,716,720,1.01,2462,32672,13.27,62,1200,19.35
LAMJUNG,716,680,0.95,1836,20060,10.93,30,900,30
TANAHU,673,429,0.64,775,7080,9.14,58,1438,24.79
KASKI,568,435,0.77,1679,19734,11.75,32,1225,38.28
PARBAT,317,241,0.76,1516,21602,14.25,10,340,34
SYANGJA,266,197,0.74,850,10288,12.1,20,405,20.25
PALPA,917,713,0.78,720,9560,13.28,50,1500,30
MYAGDI,323,302,0.93,1580,18989,12.02,21,375,17.86
BAGLUNG,862,732,0.85,1397,18302,13.1,3,125,41.67
GULMI,530,636,1.2,445,5216,11.72,83,2420,29.16
ARGHAKHANCHI,1442,1303,0.9,775,9371,12.09,6,120,20
W.HILLS,7330,6388,0.87,14015,174574,12.46,375,10048,26.79
NAWALPARASI,7462,4698,0.63,1145,12366,10.8,7250,330250,45.55
RUPANDEHI,7225,7096,0.98,3865,53475,13.84,500,25000,50
KAPILBASTU,4130,3320,0.8,2410,34010,14.11,5300,315000,59.43
W.TERAI,18817,15114,0.8,7420,99851,13.46,13050,670250,51.36
W.REGION,26177,21527,0.82,22430,284519,12.68,13425,680298,50.67
DOLPA,19,15,0.79,925,9225,9.97,0,0,0
MUGU,26,16,0.62,610,6110,10.02,0,0,0
HUMLA,24,16,0.67,700,6825,9.75,0,0,0
JUMLA,85,68,0.8,2615,26150,10,0,0,0
KALIKOT,191,103,0.54,525,6127.5,11.67,0,0,0
MW.MOUNTAIN,345,218,0.63,5375,54438,10.13,0,0,0
RUKUM,770,643,0.84,1655,20431,12.35,5,100,20
ROLPA,332,271,0.82,1797,19929,11.09,15,300,20
PYUTHAN,953,1127,1.18,890,13395,15.05,22,495,22.5
SALYAN,1092,832,0.76,860,8910,10.36,12,350,29.17
JAJARKOT,1167,769,0.66,625,9211,14.74,10,250,25
DAILEKH,804,744,0.93,1600,20320,12.7,25,750,30
SURKHET,4071,3375,0.83,1177,22502,19.12,35,725,20.71
MW.HILLS,9189,7761.4,0.84,8604,114698,13.33,124,2970,23.95
DANG,19515,17025,0.87,2200,28500,12.95,40,1000,25
BANKE,10212,9177,0.9,2365,35380,14.96,55,2220,40.36
BARDIYA,10375,9380,0.9,4000,56000,14,250,10250,41
MW.TERAI,40102,35582,0.89,8565,119880,14,345,13470,39.04
BAJURA,435,245,0.56,725,7050,9.72,141,4000,28.37
BAJHANG,250,224,0.9,1030,9682,9.4,15,380,25.33
DARCHULA,140,112,0.8,716,9215,12.87,31,992,32
FW.MOUNTAIN,825,581,0.7,2471,25947,10.5,187,5372,28.73
ACHHAM,1276,1129,0.88,400,3980,9.95,0,0,0
DOTI,693,590,0.85,2400,32550,13.56,15,525,35
BAITADI,335,250,0.75,680,16441,24.18,300,11850,39.5
DADELDHURA,507,395,0.78,800,11750,14.69,0,0,0
FW.HILLS,2811,2364,0.84,4280,64721,15.12,315,12375,39.29
KAILALI,21100,16745,0.79,5000,75000,15,205,9225,45
KANCHANPUR,6342,5192,0.82,1476,19750,13.38,2440,99000,40.57
FW.TERAI,27442,21937,0.8,6476,94750,14.63,2645,108225,40.92
FW.REGION,31078,24882,0.8,13227,185418,14.02,3147,125972,40.03
