S.N.,District Name,Primary Girls,Primary Boys,Primary Total,Lower Secondary Girls,Lower Seconary Boys,Loser Secondary Total,Seconday Girls,Secondary Boys,Secondary Total,Higher Secondary Girls,Higher Secondary Boys,Higher Secondary Total
1,Eastern dev. reg.,4125,4819,8944,1470,1676,3146,603,698,1301,119,125,244
1.1,Taplejung,296,306,602,99,95,194,27,26,53,9,2,11
1.2,Sankhuwasabha,195,228,423,63,72,135,24,22,46,0,2,2
1.3,Solukhumbu,110,116,226,40,41,81,14,16,30,9,6,15
1.4,Panchthar,185,200,385,81,74,155,41,30,71,3,2,5
1.5,Ilam,208,235,443,108,100,208,27,33,60,11,12,23
1.6,Dhankuta,166,195,361,81,105,186,34,27,61,9,5,14
1.7,Terhathum,177,214,391,82,84,166,27,32,59,14,16,30
1.8,Bhojpur,193,250,443,66,72,138,31,30,61,3,1,4
1.9,Okhaldhunga,112,133,245,34,48,82,18,25,43,3,1,4
1.10,Khotang,262,326,588,77,98,175,36,49,85,6,5,11
1.11,Udayapur,195,221,416,95,107,202,43,50,93,3,6,9
1.12,Jhapa,343,356,699,163,168,331,61,71,132,6,7,13
1.13,Morang,594,609,1203,195,214,409,93,110,203,10,14,24
1.14,Sunsari,377,462,839,115,132,247,63,73,136,17,16,33
1.15,Saptari,353,507,860,94,133,227,32,54,86,6,12,18
1.16,Siraha,359,461,820,77,133,210,32,50,82,10,18,28
2,Central dev. reg.,5916,6572,12488,1578,1813,3391,651,758,1409,175,181,356
2.1,Dolakha,407,441,848,118,149,267,60,51,111,11,10,21
2.2,Sindhupalchok,184,238,422,63,69,132,39,28,67,5,1,6
2.3,Rasuwa,50,75,125,20,29,49,10,10,20,1,2,3
2.4,Sindhuli,363,380,743,152,158,310,51,55,106,39,47,86
2.5,Ramechhap,268,308,576,121,152,273,61,75,136,41,31,72
2.6,Kavrepalanchok,181,190,371,87,79,166,42,40,82,4,1,5
2.7,Nuwakot,293,327,620,128,108,236,42,36,78,13,8,21
2.8,Dhading,589,645,1234,149,166,315,49,60,109,16,13,29
2.9,Makwanpur,608,713,1321,175,186,361,68,73,141,7,3,10
2.10,Dhanusha,227,296,523,46,60,106,16,31,47,3,6,9
2.11,Mahottari,315,395,710,41,46,87,13,23,36,1,2,3
2.12,Sarlahi,447,539,986,75,99,174,25,44,69,2,9,11
2.13,Rautahat,657,849,1506,171,209,380,73,105,178,25,36,61
2.14,Bara,269,267,536,45,45,90,21,15,36,3,7,10
2.15,Parsa,192,265,457,19,46,65,3,25,28,1,1,2
2.16,Chitwan,726,487,1213,78,126,204,40,40,80,0,1,1
,Valley,140,157,297,90,86,176,38,47,85,3,3,6
2.17,Lalitpur,63,77,140,41,46,87,14,20,34,1,1,2
2.18,Bhaktapur,35,36,71,21,21,42,12,11,23,0,0,0
2.19,Kathmandu,42,44,86,28,19,47,12,16,28,2,2,4
3,Western dev. reg.,3658,4378,8036,1363,1511,2874,601,674,1275,102,100,202
3.1,Manang,3,3,6,0,0,0,0,0,0,0,0,0
3.2,Mustang,25,19,44,8,8,16,0,1,1,0,0,0
3.3,Gorkha,203,255,458,71,73,144,26,44,70,4,2,6
3.4,Lamjung,152,173,325,57,62,119,21,29,50,1,1,2
3.5,Tanahu,320,360,680,111,134,245,58,60,118,11,6,17
3.6,Syangja,246,279,525,107,159,266,55,64,119,9,10,19
3.7,Kaski,180,168,348,112,119,231,56,57,113,4,2,6
3.8,Myagdi,166,220,386,62,58,120,29,31,60,5,3,8
3.9,Parbat,205,259,464,92,92,184,48,36,84,5,7,12
3.10,Baglung,256,367,623,67,98,165,51,37,88,5,5,10
3.11,Gulmi,285,364,649,97,125,222,47,55,102,2,1,3
3.12,Palpa,262,299,561,137,97,234,35,50,85,5,2,7
3.13,Arghakhanchi,318,367,685,87,94,181,36,38,74,3,5,8
3.14,Nawalparasi,323,372,695,120,129,249,53,52,105,28,34,62
3.15,Rupandehi,220,247,467,108,92,200,43,56,99,14,9,23
3.16,Kapilbastu,494,626,1120,127,171,298,43,64,107,6,13,19
4,Mid western dev. reg.,5158,5806,10964,1473,1541,3014,509,529,1038,123,120,243
4.1,Dolpa,87,99,186,18,21,39,8,9,17,0,0,0
4.2,Jumla,238,275,513,9,8,17,3,8,11,0,2,2
4.3,Kalikot,411,528,939,93,120,213,30,36,66,0,0,0
4.4,Mugu,143,152,295,39,43,82,6,16,22,2,0,2
4.5,Humla,412,507,919,65,81,146,18,29,47,4,5,9
4.6,Pyuthan,281,296,577,80,74,154,18,26,44,2,2,4
4.7,Rolpa,374,391,765,87,127,214,28,33,61,9,7,16
4.8,Rukum,0,0,0,0,0,0,0,0,0,0,0,0
4.9,Salyan,738,819,1557,218,226,444,119,94,213,42,47,89
4.10,Surkhet,850,960,1810,310,311,621,87,84,171,12,12,24
4.11,Dailekh,91,121,212,41,47,88,6,6,12,5,8,13
4.12,Jajarkot,168,178,346,12,15,27,6,7,13,4,1,5
4.13,Dang,586,590,1176,238,216,454,66,66,132,18,15,33
4.14,Banke,493,594,1087,185,176,361,95,98,193,20,18,38
4.15,Bardiya,286,296,582,78,76,154,19,17,36,5,3,8
5,Far western dev. reg.,5358,5976,11334,1313,1594,2907,454,586,1040,129,106,235
5.1,Bajura,443,540,983,106,134,240,23,35,58,7,7,14
5.2,Bajhang,516,604,1120,84,124,208,19,55,74,0,2,2
5.3,Darchula,301,375,676,115,127,242,55,73,128,7,9,16
5.4,Achham,956,1029,1985,182,163,345,52,65,117,1,3,4
5.5,Doti,125,160,285,20,35,55,2,16,18,1,0,1
5.6,Dadeldhura,356,473,829,118,156,274,38,52,90,44,24,68
5.7,Baitadi,1277,1394,2671,283,412,695,99,133,232,19,28,47
5.8,Kailali,797,838,1635,288,279,567,107,94,201,38,25,63
5.9,Kanchanpur,587,563,1150,117,164,281,59,63,122,12,8,20
,Total,24215,27551,51766,7197,8135,15332,2818,3245,6063,648,632,1280
